Symbol,Ex-Div Date,Record Date,Pay Date,Frequency,Amount,Adj. Amount
SPY,2021-12-17,2021-12-20,2022-01-31,Quarterly,1.6364,1.6364
SPY,2021-09-17,2021-09-20,2021-10-29,Quarterly,1.4281,1.4281
SPY,2021-06-18,2021-06-21,2021-07-30,Quarterly,1.3759,1.3759
SPY,2021-03-19,2021-03-22,2021-04-30,Quarterly,1.2778,1.2778
SPY,2020-12-18,2020-12-21,2021-01-29,Quarterly,1.58,1.58
SPY,2020-09-18,2020-09-21,2020-10-30,Quarterly,1.3392,1.3392
SPY,2020-06-19,2020-06-22,2020-07-31,Quarterly,1.3662,1.3662
SPY,2020-03-20,2020-03-23,2020-04-30,Quarterly,1.4056,1.4056
SPY,2019-12-20,2019-12-23,2020-01-31,Quarterly,1.57,1.57
SPY,2019-09-20,2019-09-23,2019-10-31,Quarterly,1.3836,1.3836
SPY,2019-06-21,2019-06-24,2019-07-31,Quarterly,1.4316,1.4316
SPY,2019-03-15,2019-03-18,2019-04-30,Quarterly,1.2331,1.2331
SPY,2018-12-21,2018-12-24,2019-01-31,Quarterly,1.4354,1.4354
SPY,2018-09-21,2018-09-24,2018-10-31,Quarterly,1.3226,1.3226
SPY,2018-06-15,2018-06-18,2018-07-31,Quarterly,1.2456,1.2456
SPY,2018-03-16,2018-03-19,2018-04-30,Quarterly,1.0968,1.0968
SPY,2017-12-15,2017-12-18,2018-01-31,Quarterly,1.3513,1.3513
SPY,2017-09-15,2017-09-18,2017-10-31,Quarterly,1.2346,1.2346
SPY,2017-06-16,2017-06-20,2017-07-31,Quarterly,1.1831,1.1831
SPY,2017-03-17,2017-03-21,2017-04-28,Quarterly,1.0331,1.0331
SPY,2016-12-16,2016-12-20,2017-01-31,Quarterly,1.3289,1.3289
SPY,2016-09-16,2016-09-20,2016-10-31,Quarterly,1.0821,1.0821
SPY,2016-06-17,2016-06-21,2016-07-29,Quarterly,1.0784,1.0784
SPY,2016-03-18,2016-03-22,2016-04-29,Quarterly,1.0496,1.0496
SPY,2015-12-18,2015-12-22,2016-01-29,Quarterly,1.2115,1.2115
SPY,2015-09-18,2015-09-22,2015-10-30,Quarterly,1.0334,1.0334
SPY,2015-06-19,2015-06-23,2015-07-31,Quarterly,1.0301,1.0301
SPY,2015-03-20,2015-03-24,2015-04-30,Quarterly,0.9308,0.9308
SPY,2014-12-19,2014-12-23,2015-01-30,Quarterly,1.1349,1.1349
SPY,2014-09-19,2014-09-23,2014-10-31,Quarterly,0.9392,0.9392
SPY,2014-06-20,2014-06-24,2014-07-31,Quarterly,0.9367,0.9367
SPY,2014-03-21,2014-03-25,2014-04-30,Quarterly,0.8246,0.8246
SPY,2013-12-20,2013-12-24,2014-01-31,Quarterly,0.9802,0.9802
SPY,2013-09-20,2013-09-24,2013-10-31,Quarterly,0.8379,0.8379
SPY,2013-06-21,2013-06-25,2013-07-31,Quarterly,0.8391,0.8391
SPY,2013-03-15,2013-03-19,2013-04-30,Quarterly,0.6937,0.6937
SPY,2012-12-21,2012-12-26,2013-01-31,Quarterly,1.0218,1.0218
SPY,2012-09-21,2012-09-25,2012-10-31,Quarterly,0.7794,0.7794
SPY,2012-06-15,2012-06-19,2012-07-31,Quarterly,0.6883,0.6883
SPY,2012-03-16,2012-03-20,2012-04-30,Quarterly,0.6139,0.6139
SPY,2011-12-16,2011-12-20,2012-01-31,Quarterly,0.7701,0.7701
SPY,2011-09-16,2011-09-20,2011-10-31,Quarterly,0.625,0.625
SPY,2011-06-17,2011-06-21,2011-07-29,Quarterly,0.6276,0.6276
SPY,2011-03-18,2011-03-22,2011-04-29,Quarterly,0.5533,0.5533
SPY,2010-12-17,2010-12-21,2011-01-31,Quarterly,0.6528,0.6528
SPY,2010-09-17,2010-09-21,2010-10-29,Quarterly,0.6021,0.6021
SPY,2010-06-18,2010-06-22,2010-07-30,Quarterly,0.5313,0.5313
SPY,2010-03-19,2010-03-23,2010-04-30,Quarterly,0.4804,0.4804
SPY,2009-12-18,2009-12-22,2010-01-29,Quarterly,0.5902,0.5902
SPY,2009-09-18,2009-09-22,2009-10-30,Quarterly,0.5083,0.5083
SPY,2009-06-19,2009-06-23,2009-07-31,Quarterly,0.5182,0.5182
SPY,2009-03-20,2009-03-24,2009-04-30,Quarterly,0.5614,0.5614
SPY,2008-12-19,2008-12-23,2009-01-30,Quarterly,0.7193,0.7193
SPY,2008-09-19,2008-09-23,2008-10-31,Quarterly,0.6909,0.6909
SPY,2008-06-20,2008-06-24,2008-07-31,Quarterly,0.6692,0.6692
SPY,2008-03-20,2008-03-25,2008-04-30,Quarterly,0.642,0.642
SPY,2007-12-21,2007-12-26,2008-01-31,Quarterly,0.7754,0.7754
SPY,2007-09-21,2007-09-25,2007-10-31,Quarterly,0.7187,0.7187
