Date,VTI,VXUS,BND,SPY,DJI,LTT,TLT,UPRO,TMF,SSO,UBT
1970-01-02,,,,,809.2,,,,,,
1970-01-05,,,,,811.31,,,,,,
1970-01-06,,,,,803.66,,,,,,
1970-01-07,,,,,801.81,,,,,,
1970-01-08,,,,,802.07,,,,,,
1970-01-09,,,,,798.11,,,,,,
1970-01-12,,,,,790.52,,,,,,
1970-01-13,,,,,788.01,,,,,,
1970-01-14,,,,,787.16,,,,,,
1970-01-15,,,,,785.04,,,,,,
1970-01-16,,,,,782.6,,,,,,
1970-01-19,,,,,776.07,,,,,,
1970-01-20,,,,,777.85,,,,,,
1970-01-21,,,,,782.27,,,,,,
1970-01-22,,,,,786.1,,,,,,
1970-01-23,,,,,775.54,,,,,,
1970-01-26,,,,,768.88,,,,,,
1970-01-27,,,,,763.99,,,,,,
1970-01-28,,,,,758.84,,,,,,
1970-01-29,,,,,748.35,,,,,,
1970-01-30,,,,,744.06,,,,,,
1970-02-02,,,,,746.44,,,,,,
1970-02-03,,,,,757.46,,,,,,
1970-02-04,,,,,754.49,,,,,,
1970-02-05,,,,,750.26,,,,,,
1970-02-06,,,,,752.77,,,,,,
1970-02-09,,,,,755.68,,,,,,
1970-02-10,,,,,746.63,,,,,,
1970-02-11,,,,,757.33,,,,,,
1970-02-12,,,,,755.61,,,,,,
1970-02-13,,,,,753.3,,,,,,
1970-02-16,,,,,753.7,,,,,,
1970-02-17,,,,,747.43,,,,,,
1970-02-18,,,,,756.8,,,,,,
1970-02-19,,,,,757.92,,,,,,
1970-02-20,,,,,757.46,,,,,,
1970-02-24,,,,,754.42,,,,,,
1970-02-25,,,,,768.28,,,,,,
1970-02-26,,,,,764.45,,,,,,
1970-02-27,,,,,777.59,,,,,,
1970-03-02,,,,,780.23,,,,,,
1970-03-03,,,,,787.42,,,,,,
1970-03-04,,,,,788.15,,,,,,
1970-03-05,,,,,787.55,,,,,,
1970-03-06,,,,,784.12,,,,,,
1970-03-09,,,,,778.31,,,,,,
1970-03-10,,,,,779.7,,,,,,
1970-03-11,,,,,778.12,,,,,,
1970-03-12,,,,,776.47,,,,,,
1970-03-13,,,,,772.11,,,,,,
1970-03-16,,,,,765.05,,,,,,
1970-03-17,,,,,767.42,,,,,,
1970-03-18,,,,,767.95,,,,,,
1970-03-19,,,,,764.98,,,,,,
1970-03-20,,,,,763.66,,,,,,
1970-03-23,,,,,763.6,,,,,,
1970-03-24,,,,,773.76,,,,,,
1970-03-25,,,,,790.13,,,,,,
1970-03-26,,,,,791.05,,,,,,
1970-03-30,,,,,784.65,,,,,,
1970-03-31,,,,,785.57,,,,,,
1970-04-01,,,,,792.04,,,,,,
1970-04-02,,,,,792.37,,,,,,
1970-04-03,,,,,791.84,,,,,,
1970-04-06,,,,,791.18,,,,,,
1970-04-07,,,,,791.64,,,,,,
1970-04-08,,,,,791.64,,,,,,
1970-04-09,,,,,792.5,,,,,,
1970-04-10,,,,,790.46,,,,,,
1970-04-13,,,,,785.9,,,,,,
1970-04-14,,,,,780.56,,,,,,
1970-04-15,,,,,782.6,,,,,,
1970-04-16,,,,,775.87,,,,,,
1970-04-17,,,,,775.94,,,,,,
1970-04-20,,,,,775.87,,,,,,
1970-04-21,,,,,772.51,,,,,,
1970-04-22,,,,,762.61,,,,,,
1970-04-23,,,,,750.59,,,,,,
1970-04-24,,,,,747.29,,,,,,
1970-04-27,,,,,735.15,,,,,,
1970-04-28,,,,,724.33,,,,,,
1970-04-29,,,,,737.39,,,,,,
1970-04-30,,,,,736.07,,,,,,
1970-05-01,,,,,733.63,,,,,,
1970-05-04,,,,,714.56,,,,,,
1970-05-05,,,,,709.74,,,,,,
1970-05-06,,,,,718.39,,,,,,
1970-05-07,,,,,723.07,,,,,,
1970-05-08,,,,,717.73,,,,,,
1970-05-11,,,,,710.07,,,,,,
1970-05-12,,,,,704.59,,,,,,
1970-05-13,,,,,693.84,,,,,,
1970-05-14,,,,,684.79,,,,,,
1970-05-15,,,,,702.22,,,,,,
1970-05-18,,,,,702.81,,,,,,
1970-05-19,,,,,691.4,,,,,,
1970-05-20,,,,,676.55,,,,,,
1970-05-21,,,,,665.25,,,,,,
1970-05-22,,,,,662.17,,,,,,
1970-05-25,,,,,641.36,,,,,,
1970-05-26,,,,,631.16,,,,,,
1970-05-27,,,,,663.2,,,,,,
1970-05-28,,,,,684.15,,,,,,
1970-05-29,,,,,700.44,,,,,,
1970-06-01,,,,,710.36,,,,,,
1970-06-02,,,,,709.61,,,,,,
1970-06-03,,,,,713.86,,,,,,
1970-06-04,,,,,706.53,,,,,,
1970-06-05,,,,,695.03,,,,,,
1970-06-08,,,,,700.23,,,,,,
1970-06-09,,,,,700.16,,,,,,
1970-06-10,,,,,694.35,,,,,,
1970-06-11,,,,,684.42,,,,,,
1970-06-12,,,,,684.21,,,,,,
1970-06-15,,,,,687.36,,,,,,
1970-06-16,,,,,706.26,,,,,,
1970-06-17,,,,,704.68,,,,,,
1970-06-18,,,,,712.69,,,,,,
1970-06-19,,,,,720.43,,,,,,
1970-06-22,,,,,716.11,,,,,,
1970-06-23,,,,,698.11,,,,,,
1970-06-24,,,,,692.29,,,,,,
1970-06-25,,,,,693.59,,,,,,
1970-06-26,,,,,687.84,,,,,,
1970-06-29,,,,,682.91,,,,,,
1970-06-30,,,,,683.53,,,,,,
1970-07-01,,,,,687.64,,,,,,
1970-07-02,,,,,689.14,,,,,,
1970-07-06,,,,,675.66,,,,,,
1970-07-07,,,,,669.36,,,,,,
1970-07-08,,,,,682.09,,,,,,
1970-07-09,,,,,692.77,,,,,,
1970-07-10,,,,,700.1,,,,,,
1970-07-13,,,,,702.22,,,,,,
1970-07-14,,,,,703.04,,,,,,
1970-07-15,,,,,711.66,,,,,,
1970-07-16,,,,,723.44,,,,,,
1970-07-17,,,,,735.08,,,,,,
1970-07-20,,,,,733.91,,,,,,
1970-07-21,,,,,722.07,,,,,,
1970-07-22,,,,,724.67,,,,,,
1970-07-23,,,,,732.68,,,,,,
1970-07-24,,,,,730.22,,,,,,
1970-07-27,,,,,730.08,,,,,,
1970-07-28,,,,,731.45,,,,,,
1970-07-29,,,,,735.56,,,,,,
1970-07-30,,,,,734.73,,,,,,
1970-07-31,,,,,734.12,,,,,,
1970-08-03,,,,,722.96,,,,,,
1970-08-04,,,,,725.9,,,,,,
1970-08-05,,,,,724.81,,,,,,
1970-08-06,,,,,722.82,,,,,,
1970-08-07,,,,,725.7,,,,,,
1970-08-10,,,,,713.92,,,,,,
1970-08-11,,,,,712.55,,,,,,
1970-08-12,,,,,710.64,,,,,,
1970-08-13,,,,,707.35,,,,,,
1970-08-14,,,,,710.84,,,,,,
1970-08-17,,,,,709.06,,,,,,
1970-08-18,,,,,716.66,,,,,,
1970-08-19,,,,,723.99,,,,,,
1970-08-20,,,,,729.6,,,,,,
1970-08-21,,,,,745.41,,,,,,
1970-08-24,,,,,759.58,,,,,,
1970-08-25,,,,,758.97,,,,,,
1970-08-26,,,,,760.47,,,,,,
1970-08-27,,,,,759.79,,,,,,
1970-08-28,,,,,765.81,,,,,,
1970-08-31,,,,,764.58,,,,,,
1970-09-01,,,,,758.15,,,,,,
1970-09-02,,,,,756.64,,,,,,
1970-09-03,,,,,765.27,,,,,,
1970-09-04,,,,,771.15,,,,,,
1970-09-08,,,,,773.14,,,,,,
1970-09-09,,,,,766.43,,,,,,
1970-09-10,,,,,760.75,,,,,,
1970-09-11,,,,,761.84,,,,,,
1970-09-14,,,,,757.12,,,,,,
1970-09-15,,,,,750.55,,,,,,
1970-09-16,,,,,754.31,,,,,,
1970-09-17,,,,,757.67,,,,,,
1970-09-18,,,,,758.49,,,,,,
1970-09-21,,,,,751.92,,,,,,
1970-09-22,,,,,747.47,,,,,,
1970-09-23,,,,,754.38,,,,,,
1970-09-24,,,,,759.31,,,,,,
1970-09-25,,,,,761.77,,,,,,
1970-09-28,,,,,758.97,,,,,,
1970-09-29,,,,,760.88,,,,,,
1970-09-30,,,,,760.68,,,,,,
1970-10-01,,,,,760.68,,,,,,
1970-10-02,,,,,766.16,,,,,,
1970-10-05,,,,,776.7,,,,,,
1970-10-06,,,,,782.45,,,,,,
1970-10-07,,,,,783.68,,,,,,
1970-10-08,,,,,777.04,,,,,,
1970-10-09,,,,,768.69,,,,,,
1970-10-12,,,,,764.24,,,,,,
1970-10-13,,,,,760.06,,,,,,
1970-10-14,,,,,762.73,,,,,,
1970-10-15,,,,,767.87,,,,,,
1970-10-16,,,,,763.35,,,,,,
1970-10-19,,,,,756.5,,,,,,
1970-10-20,,,,,758.83,,,,,,
1970-10-21,,,,,759.65,,,,,,
1970-10-22,,,,,757.87,,,,,,
1970-10-23,,,,,759.38,,,,,,
1970-10-26,,,,,756.43,,,,,,
1970-10-27,,,,,754.45,,,,,,
1970-10-28,,,,,755.96,,,,,,
1970-10-29,,,,,753.56,,,,,,
1970-10-30,,,,,755.61,,,,,,
1970-11-02,,,,,758.01,,,,,,
1970-11-03,,,,,768.07,,,,,,
1970-11-04,,,,,770.81,,,,,,
1970-11-05,,,,,771.56,,,,,,
1970-11-06,,,,,771.97,,,,,,
1970-11-09,,,,,777.66,,,,,,
1970-11-10,,,,,777.38,,,,,,
1970-11-11,,,,,779.5,,,,,,
1970-11-12,,,,,768,,,,,,
1970-11-13,,,,,759.79,,,,,,
1970-11-16,,,,,760.13,,,,,,
1970-11-17,,,,,760.47,,,,,,
1970-11-18,,,,,754.24,,,,,,
1970-11-19,,,,,755.82,,,,,,
1970-11-20,,,,,761.57,,,,,,
1970-11-23,,,,,767.52,,,,,,
1970-11-24,,,,,772.73,,,,,,
1970-11-25,,,,,774.71,,,,,,
